participant_id	species	strain_identifier	age	sex	weight
sub-01	mus musculus	C57BL/6J	29	M	33.36812785502853
sub-02	mus musculus	C57BL/6J	28	F	22.997381883999548
sub-03	mus musculus	C57BL/6J	26	F	26.757352290382077
sub-04	mus musculus	C57BL/6J	27	M	34.51535538174147
sub-05	mus musculus	C57BL/6J	27	M	33.665827948076284
sub-06	mus musculus	C57BL/6J	29	M	35.69311308268681
sub-07	mus musculus	C57BL/6J	26	M	32.510678926859654
sub-08	mus musculus	C57BL/6J	28	F	28.50151472221145
sub-09	mus musculus	C57BL/6J	29	F	31.09905102724687
sub-10	mus musculus	C57BL/6J	27	F	22.56805982185943
